,Name,Fund,CIK,Personal Net Worth,Description
23,Eli Broad,"Sunamerica Asset Management, LLC (no longer with)",0000863926,"$6,800,000,000","Eli Broad bought his first real estate at age 20 and cofounded home builder Kaufman & Broad in 1957 with $12,500 borrowed from his in-laws."
24,Israel Englander,Millennium Management LLC,0001273087,"$6,600,000,000","Israel Englander founded Millennium Management in 1989 with $35 million. Now, the hedge fund firm manages more than $38 billion."
25,John Overdeck,"Two Sigma Investments, LP",0001179392,"$6,100,000,000","John Overdeck is the co-founder of Two Sigma Investments, a quantitative trading powerhouse with $60 billion under management."
26,David Siegel,Two Sigma Investments LLC,0001179392,"$6,100,000,000","David Alan Siegel is an American businessman who founded Westgate Resorts Ltd, a Florida-based timeshare resort firm where he serves as president and chief executive officer."
27,Bruce Kovner,CAM Capital / Caxton Associates LP,0001325713,"$5,300,000,000","Bruce Kovner is chairman of CAM Capital, founded in 2012, which manages his personal investment and business portfolios."
28,Paul Tudor Jones II,Tudor Investment Corporation,0001080384,"$5,100,000,000","Hedge fund manager Paul Tudor Jones II is known for his macro trades, particularly his bets on interest rates and currencies."
29,Robert Ziff,"Ziff Davis / Ziff Brothers Investments, LLC",0001598039,"$5,000,000,000","The brothers' late father, William Jr., built up Ziff Davis, published PC Magazine and Car and Driver, and sold the company for $1.4 billion in 1994."
30,Daniel Ziff,"Ziff Davis / Ziff Brothers Investments, LLC",0001598039,"$5,000,000,000",Daniel Ziff and brothers Robert and Dirk inherited a fortune that dates back to 1927 when their grandfather cofounded publishing company Ziff Davis
31,Dirk Ziff,"Ziff Davis / Ziff Brothers Investments, LLC",0001598039,"$5,000,000,000","Dirk Ziff and his brothers Robert and Daniel inherited a fortune from their grandfather, who cofounded publishing company Ziff Davis in 1927."
32,Stanley Druckenmiller,Duquesne Family Office LLC,0001536411,"$4,700,000,000",Stanley Druckenmiller made it big as a hedge fund manager for 30 years. He now manages his money through a family office.
33,John Paulson,Paulson & Co. Inc.,0000704159,"$4,200,000,000","His hedge fund firm, Paulson & Co., was started in 1994 and enjoyed success as a niche fund until Paulson put on his ""big short."""
34,Michael Milken,Milken Michael R,0001045218,"$3,700,000,000",https://sec.report/CIK/0001045218
35,Paul Singer,Elliott Management,0001048445,"$3,500,000,000","He founded his hedge fund firm, Elliott Management, in 1977 with $1.3 million. The firm now has some $35 billion in assets under management."
36,Ken Langone,Invemed,,"$3,600,000,000","In 1978, Ken Langone made an early investment in Home Depot and became a cofounder with Arthur Blank and Bernard Marcus, now billionaires."
37,John Arnold,Arnold Ventures LLC,,"$3,300,000,000","In 2018 Arnold and wife Laura restructured their philanthropic activities into Arnold Ventures LLC, which employs more than 80 people."
38,Jonathan Gray,Blackstone Group L.P.,,"$3,500,000,000",
39,Leon G. Cooperman,Cooperman Leon G,0000898382,"$3,200,000,000","Cooperman founded Omega Advisors in 1991, a hedge fund known for strong performance; he shut down the fund at the end of 2018."
40,Daniel Och,Oz Management LP,0001054587,"$3,100,000,000","Dan Och founded Och-Ziff Capital Management, now a publicly traded hedge fund firm, 25 years ago."
41,Ira Rennert,Renco Group,0000804236,"$3,000,000,000","Ira Rennert is the founder of the Renco Group, an industrial empire with estimated annual revenues of $5 billion."
42,Steven Klinsky,Klinsky Steven B / New Mountain Capital,0001018327,"$3,000,000,000","Klinsky founded $20 billion in assets private equity firm New Mountain Capital in 1999, one of the buyout industry's top performing firms."
43,Mark Walter,"Guggenheim Partners, LLC",0001425498,"$2,900,000,000","Mark Walter is CEO of investment firm Guggenheim Partners, which has some $270 billion in assets under management."
44,Peter Kellogg,Iat Reinsurance Co Ltd,0001633625,"$2,900,000,000","After selling to Goldman in 2000, Kellogg turned his attention to reinsurance outfit IAT, which he led as CEO until 2015 and still chairs."
45,Noam Gottesman,Gottesman Noam,0001416192,"$2,800,000,000","Noam Gottesman cofounded hedge fund GLG Partners in 1995, which started out as a subsidiary of Lehman Brothers.
"
46,Antony Ressler,,,"$2,900,000,000",Ressler owns a minority stake in the Milwaukee Brewers baseball team and is the majority owner of the NBA's Atlanta Hawks.
47,Jim Coulter,,,"$2,600,000,000","Jim Coulter is co-CEO and founding partner of private equity giant TPG, which has $84 billion in assets under management."
48,Herbert Wertheim,Brain Power Inc,,"$2,700,000,000","He founded and still runs Brain Power Inc., a manufacturer of optical tints for eyeglasses; it holds more than 100 patents and copyrights."
49,Ron Baron,Baron Funds,0001217673,"$2,500,000,000","Ron Baron is the CEO of Baron Funds, a money management firm he founded in 1982; it has $30 billion in assets under management as of September 2019."
50,Bruce Karsh,Oaktree Capital Management,0000949509,"$2,200,000,000",Bruce Karsh runs Los Angeles-based private equity firm Oaktree Capital Management with longtime partner Howard Marks; they founded it in 1995.
51,James Dinan,York Capital Management,0000879074,"$2,200,000,000","James Dinan founded York Capital Management in 1991 and is the chairman, CEO and a managing partner of the money management firm."
52,Brian Sheth,Vista Equity Partners,,"$2,200,000,000",Brian Sheth cofounded private equity firm Vista Equity Partners in 2000 with Robert Smith.
53,Dan Loeb,Third Point,0001040273,"$2,800,000,000","Dan Loeb is the founder of Third Point, a hedge fund that manages some $15 billion."
54,Warren Stephens,Stephens Inc.,,"$2,400,000,000","Stephens Inc., his Little Rock investment bank, was founded by his uncle Witt in 1933; his father Jackson joined in 1946."
55,Henry Laufer,Renaissance Technologies,0001037389,"$2,100,000,000","Laufer joined legendary quantitative hedge fund Renaissance Technologies, founded by Jim Simons, in 1992."
56,David Gottesman,First Manhattan Co,0000036503,"$2,100,000,000","A Harvard Business School graduate, Gottesman co-founded the investment firm First Manhattan Co., which was an early investor in Berkshire Hathaway."
57,Jeffrey Gundlach,DoubleLine Capital,0001539747,"$2,100,000,000","Gundlach is the cofounder of mutual fund company, DoubleLine Capital, which manages more than $140 billion in assets."
58,Glenn Dubin,Highbridge Capital Management,0000919185,"$2,000,000,000","Dubin's fortune comes from Highbridge Capital, which he cofounded in 1992 and then sold to JP Morgan Chase in 2004."
59,Henry Swieca,Highbridge Capital Management,0000919185,"$1,800,000,000","A Wall Street veteran, Henry Swieca cofounded hedge fund firm Highbridge Capital Management in 1992 with childhood friend Glenn Dubin."
60,Marc Lasry,Avenue Capital Management ,0001317338,"$1,800,000,000",Marc Lasry and his sister Sonia founded Avenue Capital Management in 1995 with $7 million in funding from friends and family.
61,Jeffrey Talpins,ELEMENT CAPITAL MANAGEMENT LLC,0001535630,"$1,700,000,000","Jeffrey Talpins runs Element Capital Management, a hedge fund firm with $17 billion under management that specializes in macro trading."
62,J. Tomilson Hill,M&A departmen,,"$1,700,000,000","Mergers and acquisitions maven J. Tomilson ""Tom"" Hill started off his career at investment bank First Boston, where he cofounded the M&A department."
63,Brian Higgins,King Street Capital Management,0001218199,"$1,600,000,000","Brian Higgins is the cofounder of King Street Capital Management, a distressed-debt focused hedge fund."
64,O. Francis Biondi,King Street Capital Management,0001218199,"$1,600,000,000",O. Francis Biondi cofounded hedge fund King Street Capital Management in 1995 with fellow First Boston alum Brian Higgins.
65,Nicolas Berggruen,Berggruen Holdings ,0001384956,"$1,600,000,000",He first worked in real estate for Bass Brothers Enterprises before founding Berggruen Holdings in 1985 to manage his family fortune.
66,Louis Bacon,Bacon Louis M,0001051290,"$1,500,000,000","One of Wall Street's macro-trading legends, Louis Bacon cut his teeth as a commodities and currencies trader, earning big profits in the 1987 crash."
67,Seth Klarman,BAUPOST GROUP LLC/MA,0001061768,"$1,500,000,000","Investment legend Seth Klarman runs Boston-based firm Baupost. With $27 billion under management, Baupost is one of the largest hedge funds."
68,Bill Gross,,,"$1,500,000,000","Gross cofounded PIMCO, an investment management firm, in 1971 and became known as a superstar bond fund manager."
69,David Booth,DIMENSIONAL FUND ADVISORS LP,0000354204,"$1,600,000,000","When David Booth cofounded Dimensional Fund Advisors in 1981, he began a decades-long experiment in applying academic theory to real-world investing."
70,Hamilton James,James Hamilton E,0001238989,"$1,500,000,000","Hamilton ""Tony"" James was recruited to Blackstone Group in 2002 to help run its rapidly-expanding private equity and asset management business."
71,Ron Burkle,,,"$1,400,000,000","He formed investment firm Yucaipa in 1986 and bagged big returns buying and selling supermarket chains Fred Meyer, Jurgensen's, Ralphs and others."
72,Sue Gross,Sue Gross Family Foundation,,"$1,400,000,000",Sue Gross is the ex-wife of PIMCO cofounder and billionaire Bill Gross. The two divorced in 2017 after 32 years of marriage.
73,Philippe Laffont,LAFFONT PHILIPPE,0001279618,"$1,400,000,000","Philippe Laffont runs Coatue Management, a hedge fund and venture capital that focusses on technology-themed investing."
74,Herbert Allen Jr,,,"$1,400,000,000","Herbert ""Herb"" A. Allen controls boutique investment bank Allen & Co., which focuses on tech companies."
75,Fayez Sarofim,Fayez Sarofim & Co,0000937729,"$1,300,000,000",Octogenarian investment manager Fayez Sarofim is chairman and Co-Chief Investment Officer of money management firm Fayez Sarofim & Co.
76,Joseph Edelman,Perceptive Advisors Llc,0001224962,"$1,200,000,000",Edelman founded Perceptive Advisors in 1999 and focuses on investing in biotechnology stocks.
77,J Christopher Flowers,J.C. FLOWERS SECURITIES CO. LLC,0001583733,"$1,200,000,000","J. Christopher Flowers runs private equity firm J.C. Flowers & Co., which focuses on the financial services sector."
78,Michael Price,MFP Investors LLC,0001105685,"$1,100,000,000",Price began his career in finance as a research assistant at Heine Securities in 1975 and bought the company after Michael Heine died in 1988.
79,Richard Kayne,Kayne Anderson Mlp Investment Co,0001747172,"$1,100,000,000",Richard Kayne cofounded alternative asset manager Kayne Anderson Capital Advisors.
80,Michael Steinhardt,Steinhardt Michael H,0000315246,"$1,100,000,000","Steinhardt cofounded Birthright Israel, a foundation that provides funding for young Jewish Americans to take heritage trips to Israel."
81,Lowell Milken,Heron International,,"$1,000,000,000",Lowell Milken is the younger brother and the former right-hand man of former financier Michael Milken.
82,Carl Thoma,"Thoma Bravo, LLC",0001450701,"$1,600,000","After about a hundred calls, Bravo’s résumé caught the eye of Carl Thoma, a founding partner of the Chicago-based private equity firm Golder, Thoma, Cressey, Rauner (now known as GTCR), and they hit it off."
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
